"","Canada","France","Germany","Japan","Italy","United Kingdom","United States"
"ind1.1.1",0.6,0.6,0.55,0.4,0.5,0.4,0.6
"ind1.a.1.1",0.833333333333333,0.833333333333333,0.777777777777778,0.666666666666667,0.666666666666667,0.722222222222222,0.833333333333333
"ind1.a.2.1",0.666666666666667,0.2,0.866666666666667,0.6,0.666666666666667,0.6,0.8
"ind2.5.2",0.4,0.3,0.25,0.55,0.5,0.4,0.65
"ind3.1.1",0.857142857142857,0.785714285714286,0.714285714285714,0.785714285714286,1,0.785714285714286,0.857142857142857
"ind3.2.1",0.3,0.25,0.25,0.15,0.05,0.15,0.1
"ind3.2.2",0.6,0.5,0.75,0.5,0.3,0.4,0.55
"ind3.3.2",0.789473684210526,0.526315789473684,0.526315789473684,0.105263157894737,0.473684210526316,0.368421052631579,0.684210526315789
"ind3.4.1",1,0.736842105263158,0.947368421052632,0.789473684210526,0.842105263157895,0.842105263157895,0.894736842105263
"ind3.4.2",0.421052631578947,0.421052631578947,0.473684210526316,0.368421052631579,0.421052631578947,0.578947368421053,0.368421052631579
"ind3.6.1.1",0.85,0.2,0.25,0.15,0.15,0.8,0.15
"ind3.b.1.1",0.789473684210526,0.473684210526316,0.631578947368421,0.473684210526316,0.736842105263158,0.368421052631579,0.684210526315789
"ind3.b.1.3",0.55,0.65,0.6,0.5,0.55,0.55,0.75
"ind6.1.1.1",0.25,0.25,1,0.25,0.55,1,0.5
"ind6.2.1.1",0.15,1,0.6,0,1,1,0.95
"ind7.1.1",NA,NA,NA,NA,NA,NA,NA
"ind7.1.2",NA,NA,NA,NA,NA,NA,NA
"ind7.2.1",0.473684210526316,0.684210526315789,0.842105263157895,0.473684210526316,0.894736842105263,0.684210526315789,0.526315789473684
"ind7.3.1",0.3125,0.375,0.375,0.25,0.4375,0.1875,0.3125
"ind8.1.1",0.476190476190476,0.380952380952381,0.380952380952381,0.476190476190476,0.380952380952381,0.380952380952381,0.476190476190476
"ind8.2.1",0.4,0.4,0.6,0.7,0.45,0.5,0.7
"ind8.4.2.1",0.473684210526316,0.421052631578947,0.368421052631579,0.368421052631579,0.315789473684211,0.263157894736842,0.368421052631579
"ind8.4.2.2",0.421052631578947,0.315789473684211,0.263157894736842,0.368421052631579,0.368421052631579,0.263157894736842,0.578947368421053
"ind8.5.2.1",0.333333333333333,0.380952380952381,0.380952380952381,0.380952380952381,0.380952380952381,0.380952380952381,0.476190476190476
"ind9.1.2.1",0.55,0.25,0.45,0.45,0.3,0.85,0.8
"ind9.1.2.2",0.894736842105263,0.315789473684211,0.315789473684211,0.421052631578947,0.421052631578947,0.210526315789474,0.315789473684211
"ind9.1.2.3",0.4,0.65,0.6,0.65,0.55,0.6,0.5
"ind9.2.1",0.571428571428571,0.619047619047619,0.761904761904762,0.571428571428571,0.619047619047619,0.761904761904762,0.619047619047619
"ind9.2.2.1",0.5,0.666666666666667,0.888888888888889,0.833333333333333,0.666666666666667,0.833333333333333,0.611111111111111
"ind9.2.2.2",0.25,0.15,0.2,0.3,0.3,0.25,0.55
"ind9.4.1",0.157894736842105,0.473684210526316,0.263157894736842,0.210526315789474,0.210526315789474,0.105263157894737,0.263157894736842
"ind9.5.1",0.866666666666667,0.4,0.6,0.733333333333333,0.6,0.4,0.533333333333333
"ind9.5.2",0.866666666666667,0.933333333333333,0.533333333333333,0.533333333333333,0.6,0.733333333333333,0.6
"ind9.c.1.1",0.8,0.8,0.8,0.9,0.7,0.55,0.9
"ind9.c.1.2",0.55,0.75,0.8,0.7,0.8,0.8,0.8
